scold;ругать, ворчать;
vex;раздражать, досаждать;
charcuterie;мясная закуска;шак'утери
disgruntled;раздражённый;
gravely;серьезно, тяжко;
remit;полномочия, круг обязанностей;ри'мит
hauteur;спесь, высокомерие;оу'тэ
plonk;уронить, шлёпнеуться;
gammon;болтовня, трёп, окорок;
wantonly;безудержно, несдержанно;'уонтанли
douse;бросать или окунать в воду;даус
commendable;достойный одобрения;
cognisant;осведомлённый;
chime;звенеть;гармонировать;
deride;высмеивать;
unbidden;непрошеный, незваный;
burgeoning;растущий, расцветающий;'бэджанин
succumb;уступить, погибнуть;са'кам
forestall;предвосхищать, опережать
